p_interval_start,p_interval_stop,p_observe,p_samplesize,p_note
Thu Apr 01 00:00:00 UTC 2010,Fri Apr 30 00:00:00 UTC 2010,10,168,
Sat May 01 00:00:00 UTC 2010,Mon May 31 00:00:00 UTC 2010,10,162,
Tue Jun 01 00:00:00 UTC 2010,Wed Jun 30 00:00:00 UTC 2010,10,184,
Thu Jul 01 00:00:00 UTC 2010,Sat Jul 31 00:00:00 UTC 2010,11,181,
Sun Aug 01 00:00:00 UTC 2010,Tue Aug 31 00:00:00 UTC 2010,14,151,
Wed Sep 01 00:00:00 UTC 2010,Thu Sep 30 00:00:00 UTC 2010,12,151,
Fri Oct 01 00:00:00 UTC 2010,Sun Oct 31 00:00:00 UTC 2010,14,157,
Mon Nov 01 00:00:00 UTC 2010,Tue Nov 30 00:00:00 UTC 2010,12,143,
Wed Dec 01 00:00:00 UTC 2010,Fri Dec 31 00:00:00 UTC 2010,17,167,
Sat Jan 01 00:00:00 UTC 2011,Mon Jan 31 00:00:00 UTC 2011,16,195,
Tue Feb 01 00:00:00 UTC 2011,Mon Feb 28 00:00:00 UTC 2011,9,212,
Tue Mar 01 00:00:00 UTC 2011,Thu Mar 31 00:00:00 UTC 2011,9,192,
Fri Apr 01 00:00:00 UTC 2011,Sat Apr 30 00:00:00 UTC 2011,7,154,
Sun May 01 00:00:00 UTC 2011,Tue May 31 00:00:00 UTC 2011,7,148,
Wed Jun 01 00:00:00 UTC 2011,Thu Jun 30 00:00:00 UTC 2011,11,153,
Fri Jul 01 00:00:00 UTC 2011,Sun Jul 31 00:00:00 UTC 2011,8,160,
Mon Aug 01 00:00:00 UTC 2011,Wed Aug 31 00:00:00 UTC 2011,9,146,
Thu Sep 01 00:00:00 UTC 2011,Fri Sep 30 00:00:00 UTC 2011,9,139,
Sat Oct 01 00:00:00 UTC 2011,Mon Oct 31 00:00:00 UTC 2011,11,153,
Tue Nov 01 00:00:00 UTC 2011,Wed Nov 30 00:00:00 UTC 2011,11,160,
Thu Dec 01 00:00:00 UTC 2011,Sat Dec 31 00:00:00 UTC 2011,11,162,
Sun Jan 01 00:00:00 UTC 2012,Tue Jan 31 00:00:00 UTC 2012,10,153,
Wed Feb 01 00:00:00 UTC 2012,Wed Feb 29 00:00:00 UTC 2012,5,190,
Thu Mar 01 00:00:00 UTC 2012,Sat Mar 31 00:00:00 UTC 2012,10,180,
Sun Apr 01 00:00:00 UTC 2012,Mon Apr 30 00:00:00 UTC 2012,9,161,
Tue May 01 00:00:00 UTC 2012,Thu May 31 00:00:00 UTC 2012,6,135,
Fri Jun 01 00:00:00 UTC 2012,Sat Jun 30 00:00:00 UTC 2012,7,150,
Sun Jul 01 00:00:00 UTC 2012,Tue Jul 31 00:00:00 UTC 2012,2,162,
Wed Aug 01 00:00:00 UTC 2012,Fri Aug 31 00:00:00 UTC 2012,6,115,
Sat Sep 01 00:00:00 UTC 2012,Sun Sep 30 00:00:00 UTC 2012,4,143,
Mon Oct 01 00:00:00 UTC 2012,Wed Oct 31 00:00:00 UTC 2012,7,171,
Thu Nov 01 00:00:00 UTC 2012,Fri Nov 30 00:00:00 UTC 2012,8,142,
Sat Dec 01 00:00:00 UTC 2012,Mon Dec 31 00:00:00 UTC 2012,10,132,
Tue Jan 01 00:00:00 UTC 2013,Thu Jan 31 00:00:00 UTC 2013,4,158,
Fri Feb 01 00:00:00 UTC 2013,Thu Feb 28 00:00:00 UTC 2013,7,192,
Fri Mar 01 00:00:00 UTC 2013,Sun Mar 31 00:00:00 UTC 2013,9,206,
Mon Apr 01 00:00:00 UTC 2013,Tue Apr 30 00:00:00 UTC 2013,6,221,
Wed May 01 00:00:00 UTC 2013,Fri May 31 00:00:00 UTC 2013,4,205,
Sat Jun 01 00:00:00 UTC 2013,Sun Jun 30 00:00:00 UTC 2013,6,242,
Mon Jul 01 00:00:00 UTC 2013,Wed Jul 31 00:00:00 UTC 2013,6,177,
Thu Aug 01 00:00:00 UTC 2013,Sat Aug 31 00:00:00 UTC 2013,10,180,
Sun Sep 01 00:00:00 UTC 2013,Mon Sep 30 00:00:00 UTC 2013,7,201,
Tue Oct 01 00:00:00 UTC 2013,Thu Oct 31 00:00:00 UTC 2013,7,146,
Fri Nov 01 00:00:00 UTC 2013,Sat Nov 30 00:00:00 UTC 2013,7,123,
Sun Dec 01 00:00:00 UTC 2013,Tue Dec 31 00:00:00 UTC 2013,5,181,
Wed Jan 01 00:00:00 UTC 2014,Fri Jan 31 00:00:00 UTC 2014,9,190,
Sat Feb 01 00:00:00 UTC 2014,Fri Feb 28 00:00:00 UTC 2014,8,211,
Sat Mar 01 00:00:00 UTC 2014,Mon Mar 31 00:00:00 UTC 2014,5,185,
Tue Apr 01 00:00:00 UTC 2014,Wed Apr 30 00:00:00 UTC 2014,5,181,
Thu May 01 00:00:00 UTC 2014,Sat May 31 00:00:00 UTC 2014,5,237,
Sun Jun 01 00:00:00 UTC 2014,Mon Jun 30 00:00:00 UTC 2014,5,220,
Tue Jul 01 00:00:00 UTC 2014,Thu Jul 31 00:00:00 UTC 2014,7,204,
Fri Aug 01 00:00:00 UTC 2014,Sun Aug 31 00:00:00 UTC 2014,1,146,
Mon Sep 01 00:00:00 UTC 2014,Tue Sep 30 00:00:00 UTC 2014,6,191,
Wed Oct 01 00:00:00 UTC 2014,Fri Oct 31 00:00:00 UTC 2014,2,192,
Sat Nov 01 00:00:00 UTC 2014,Sun Nov 30 00:00:00 UTC 2014,6,182,
Mon Dec 01 00:00:00 UTC 2014,Wed Dec 31 00:00:00 UTC 2014,9,179,
Thu Jan 01 00:00:00 UTC 2015,Sat Jan 31 00:00:00 UTC 2015,4,266,
Sun Feb 01 00:00:00 UTC 2015,Sat Feb 28 00:00:00 UTC 2015,4,225,
Sun Mar 01 00:00:00 UTC 2015,Tue Mar 31 00:00:00 UTC 2015,6,206,
Wed Apr 01 00:00:00 UTC 2015,Thu Apr 30 00:00:00 UTC 2015,5,170,